id,price,city,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds
4405982,399.0,boston,jamaica plain,apartment,entire home/apt,8,2,4,4
250983,350.0,boston,jamaica plain,apartment,entire home/apt,5,1,2,2
2308630,200.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
8272350,99.0,boston,jamaica plain,apartment,private room,2,1,1,1
12368012,295.0,boston,jamaica plain,house,entire home/apt,6,2,3,4
4098410,107.0,boston,jamaica plain,apartment,private room,2,1,1,1
6322283,69.0,boston,jamaica plain,apartment,private room,1,1,1,1
7823025,76.0,boston,jamaica plain,apartment,private room,2,1,1,1
9549850,75.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
7845607,55.0,boston,jamaica plain,house,private room,1,1,1,1
14071446,65.0,boston,jamaica plain,apartment,private room,2,1,1,2
14218904,59.0,boston,jamaica plain,condominium,private room,2,1,1,1
11826815,88.0,boston,jamaica plain,house,private room,2,1,1,1
13334098,164.0,boston,jamaica plain,house,entire home/apt,5,2,4,3
4765070,90.0,jamaica plain,jamaica plain,house,entire home/apt,2,1,0,1
2880944,185.0,boston,jamaica plain,apartment,entire home/apt,4,2,2,2
9532771,80.0,boston,jamaica plain,apartment,private room,2,1,1,1
10253591,105.0,boston,jamaica plain,house,private room,2,1,1,1
1881298,90.0,boston,jamaica plain,house,private room,2,1,1,1
210097,100.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
6059968,100.0,boston,,apartment,shared room,2,1,1,1
6862758,200.0,boston,jamaica plain,apartment,entire home/apt,5,1,2,3
799701,300.0,jamaica plain,jamaica plain,apartment,entire home/apt,8,1,4,4
6862594,60.0,boston,jamaica plain,house,private room,2,1,1,1
9057435,319.0,boston,jamaica plain,apartment,entire home/apt,6,1,3,3
750438,85.0,boston,jamaica plain,apartment,private room,2,1,1,1
12874603,70.0,boston,jamaica plain,condominium,private room,2,2,1,1
12727401,50.0,boston,jamaica plain,apartment,private room,2,1,1,1
2077794,119.0,boston,jamaica plain,apartment,entire home/apt,4,1,1,1
9712731,125.0,boston,jamaica plain,condominium,entire home/apt,3,1,1,2
13677640,53.0,boston,jamaica plain,apartment,private room,2,1,1,1
3371091,125.0,boston,jamaica plain,apartment,private room,4,1,1,1
13512551,199.0,boston,,house,entire home/apt,6,2,4,4
732999,205.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
6106955,114.0,boston,jamaica plain,condominium,entire home/apt,5,1,2,2
2698996,75.0,boston,jamaica plain,apartment,private room,2,1,1,1
27611,185.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
4025194,75.0,boston,jamaica plain,apartment,private room,2,1,1,1
8336364,180.0,boston,jamaica plain,apartment,entire home/apt,4,2,2,2
12071820,70.0,boston,jamaica plain,apartment,shared room,2,1,1,1
7910223,150.0,boston,jamaica plain,bed & breakfast,entire home/apt,2,1,1,2
4567815,120.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
12022134,92.0,boston,jamaica plain,apartment,private room,2,2,1,1
13513012,84.0,boston,jamaica plain,apartment,private room,2,1,1,1
3730447,200.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
4149974,115.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
14933380,49.0,boston,,apartment,shared room,1,1,1,1
6238463,95.0,boston,jamaica plain,townhouse,private room,2,1,1,1
1929406,275.0,jamaica plain,jamaica plain,house,entire home/apt,6,1,4,4
4583526,230.0,boston,jamaica plain,apartment,entire home/apt,9,1,4,4
7287822,130.0,boston,jamaica plain,apartment,entire home/apt,4,1,1,4
8354938,192.0,boston,jamaica plain,apartment,entire home/apt,5,1,2,3
5025015,175.0,boston,jamaica plain,apartment,entire home/apt,5,1,3,4
4452800,70.0,boston,jamaica plain,apartment,private room,2,1,1,1
7554801,65.0,boston,jamaica plain,townhouse,private room,2,1,1,1
9349646,100.0,boston,jamaica plain,apartment,private room,2,1,1,1
6386351,185.0,boston,jamaica plain,apartment,entire home/apt,3,1,1,1
5124772,250.0,boston,jamaica plain,house,entire home/apt,10,2,5,5
3977877,110.0,boston,,apartment,entire home/apt,2,1,1,1
1754939,150.0,boston,jamaica plain,house,entire home/apt,5,1,2,3
6602167,168.0,boston,jamaica plain,apartment,entire home/apt,6,1,2,4
3987926,60.0,boston,jamaica plain,apartment,private room,2,1,1,1
5729845,59.0,boston,jamaica plain,apartment,private room,2,1,1,1
9727523,60.0,boston,jamaica plain,house,private room,2,1,1,1
12463555,145.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,4
9137560,80.0,boston,jamaica plain,apartment,private room,2,1,1,1
3616081,114.0,boston,jamaica plain,apartment,entire home/apt,3,1,1,2
8908145,170.0,boston,jamaica plain,house,private room,2,1,1,1
554720,240.0,boston,jamaica plain,apartment,entire home/apt,6,2,2,2
1551467,150.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
7743569,69.0,boston,jamaica plain,apartment,private room,2,1,1,1
732932,80.0,boston,jamaica plain,apartment,private room,2,1,1,1
749247,85.0,boston,jamaica plain,apartment,private room,2,1,1,1
667325,75.0,boston,jamaica plain,apartment,private room,4,1,1,2
9349614,150.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
10627514,70.0,boston,jamaica plain,house,private room,2,2,1,1
1885825,80.0,boston,jamaica plain,house,private room,3,1,1,2
9906565,225.0,boston,jamaica plain,apartment,entire home/apt,7,1,3,4
629814,225.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
1222327,178.0,jamaica plain,jamaica plain,house,entire home/apt,4,2,2,2
10299047,175.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
9463444,109.0,boston,jamaica plain,apartment,entire home/apt,3,1,0,2
